_id,name,phone,salary,role,location,employeeId,managerId
123457,Kwame Johnson,024 0284448,114308,5,94016,011135,0
123457,John Boafo,024 2163821,92386,5,60601,805698,011135
123458,William Boafo,024 6654676,111410,4,94016,765283,011135
123459,Sarah Miller,024 4437842,100583,5,06101,075641,011135
123460,William Boafo,024 6754008,98109,4,94016,259676,011135
123461,Michael Miller,024 7063523,112302,5,94016,094000,011135
123462,Sarah Doe,024 5894809,90474,2,06101,583209,011135
123463,Michael Doe,024 7808045,88423,3,60601,964969,011135
123464,Jane Davis,024 9762096,88209,5,06101,337534,011135
123465,John Brown,024 0306628,115674,4,10001,765815,011135
123466,Kwaku Davis,024 4523219,84051,3,60601,860260,011135
123467,John Johnson,024 7789189,103358,5,06101,562673,011135
123468,Jane Brown,024 2481397,107616,2,10001,480752,011135
123469,Kwabena Miller,024 2831613,92164,2,02108,313170,011135
123470,John Brown,024 1064939,109937,1,60601,179154,011135
123471,William Boafo,024 8399554,102802,2,60601,588632,011135
123472,Michael Smith,024 5275799,97249,4,10001,082667,011135
123473,William Brown,024 8589388,88021,3,06101,588436,011135
123474,Jane Boafo,024 4879560,88210,4,94016,218866,011135
123475,Michael Brown,024 3073085,89516,4,94016,460379,011135
123476,Kwabena Boafo,024 7758772,97351,3,94016,802567,011135
123477,Sarah Boafo,024 0011429,87421,4,10001,716179,011135
123478,John Smith,024 2138830,91403,5,06101,781655,011135
123479,William Davis,024 8550789,98647,2,94016,283443,011135
123480,William Williams,024 7994497,101115,5,94016,944913,011135
123481,Kwame Smith,024 2668907,111514,2,60601,241754,011135
123482,Kwabena Davis,024 7505573,117514,5,02108,830080,011135
123483,John Williams,024 5592354,114445,1,06101,296185,011135
123484,Kwaku Miller,024 3860656,88302,2,06101,644806,011135
123485,John Johnson,024 3016328,105438,3,60601,460637,011135
123486,Jane Brown,024 9284082,83630,4,10001,890519,011135
123487,John Boafo,024 3289039,82303,3,60601,417331,011135
123488,Kwabena Brown,024 6190110,87098,2,02108,747778,011135
123489,William Doe,024 6240921,92935,5,10001,377628,011135
123490,Kwaku Davis,024 9572969,111848,3,94016,118893,011135
123491,John Doe,024 6214346,85371,1,60601,443233,011135
123492,Jane Davis,024 1938743,107925,2,94016,567865,011135
123493,Sarah Doe,024 4954147,107548,3,94016,484114,011135
123494,John Johnson,024 8135008,119093,1,94016,661430,011135
123495,Sarah Smith,024 9553933,90995,1,10001,582953,011135
123496,John Boafo,024 2409750,81763,3,60601,766008,011135
123497,Jane Miller,024 2113658,80558,5,10001,864596,011135
123498,Kwame Miller,024 3106306,99860,4,02108,880309,011135
123499,Kwame Boafo,024 9766009,103176,4,60601,519534,011135
123500,Kwame Miller,024 4819511,116057,2,02108,840954,011135
123501,Kwame Smith,024 3336553,101122,4,02108,149997,011135
123502,William Smith,024 7545380,109501,5,02108,684346,011135
123503,Sarah Boafo,024 9120974,81351,1,94016,328057,011135
123504,Jane Miller,024 7397510,106155,1,60601,586349,011135
123505,John Brown,024 1461688,108660,5,60601,476805,011135
123506,Kwame Miller,024 9104967,89911,1,10001,447153,011135
123507,William Johnson,024 0175204,107024,3,02108,727460,011135
123508,Sarah Miller,024 0132475,115793,1,06101,406756,011135
123509,John Doe,024 2008207,110912,2,02108,086053,011135
123510,Kwaku Williams,024 8336301,118658,3,02108,476325,011135
123511,Kwaku Williams,024 5876491,85337,4,94016,269797,011135
123512,Jane Smith,024 1633875,119835,2,94016,383619,011135
123513,William Doe,024 9299902,102414,1,60601,590888,011135
123514,Kwame Johnson,024 8052544,101348,4,02108,746100,011135
123515,Kwame Smith,024 4122086,92503,1,06101,101441,011135
123516,William Davis,024 3787304,105543,3,02108,625789,011135
